title,last_name,first_name,year,"publisher",place,corpus_index,word_count,origin,medium,category,corpus_type
מיכסות לבנינים ולשטחים ציבוריים,יבין,שמואל,1964,"משרד השיכון אגף הפרוגרמות - מוסדות ציבור",תל-אביב,2800015,7219,Scanned,Survey,משרד השיכון,IIA
לקראת תקן ישראלי לניהול פרויקטי בניה - נייר עמדה,רוזנפלד,יחיאל,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200066,2079,Born digital,נייר עמדה,המכון הלאומי לחקר הבנייה,IIA
"מדיניות לאומית בתחום הבינוי ",בנטור,אמנון,2015,"המכון הלאומי לחקר הבנייה",חיפה,1200067,6549,Born digital,"דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"חסמים, פתרונות והזדמנויות בפיתוח שוק החומרים והמוצרים הירוקים בישראל",ילינק,אביאל,2015,"המשרד לאיכות הסביבה",,1400058,24074,Born digital,,המשרד להגנת הסביבה,IIA
הפחתת רעש מזגן דירתי מפוצל באמצעות בקרת רעש אקטיבית,אלעד,דוד,2000,"המשרד לאיכות הסביבה",תל אביב?,1400045,5389,Born digital,,המשרד להגנת הסביבה,IIA
הנצלה של שארית צמנט פעיל בפסולת בנייה לשימוש נוסף בבטון חדש,קוליש,דניאל,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200027,21523,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
הפחתת משקל של תקרות דרוכות באמצעות תכן אופטימלי של מיקומי העמודים ופריסת כבלי הדריכה,זליקמן,יעקב,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200032,16847,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חיזוי אמין של לחצי תפיחה ותפיחה חופשית בקרקע חרסיתית בקנה מידה המתאים לשדה,טלסניק,מרק,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200055,3591,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
חקירת תגובת הקרקע להעמסה מחזורית באמצעות מדידה ישירה של מאמץ גזירה בתוך הקרקע,עומר,איתמר,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200059,4063,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
פיתוח אלמנטים נבונים מצמנט מגנזיום פוספט (פוסמנט) משוריין בטקסטיל בעלי יכולות מבניות ויכולת חישה מתקדמות,גולדפלד,יסכה,2022,"המכון הלאומי לחקר הבנייה",חיפה,1200088,13871,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
