כותר,שם משפחה מחבר,שם פרטי מחבר,שנת פרסום,"מו""ל",מקום פרסום,מספר מערכת בקורפוס,מספר מילים,ראשית,סוג מסמך,קטגוריה,קורפוס
אגרגטים ממוחזרים כתחליפים לאגרגטים דקים בייצור בטון,קוליש,דניאל,2016,המכון הלאומי לחקר הבנייה,חיפה,1200000,16678,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אופטימיזציית הפסד-עלות מרובת מטרות לשדרוג סיסמי של מבנים באמצעות מרסנים ויסקוזיים,לבן,אורן,2019,המכון הלאומי לחקר הבנייה,חיפה,1200001,8532,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אופטימיזצית התכן של בטונים בעלי עבידות משופרת (בטון מצטופף מעצמו - SCC) לשיפור קיים ותפקוד ארוך טווח,וסרמן,רינה,2008,המכון הלאומי לחקר הבנייה,חיפה,1200002,9603,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אורך דיפוזיה של ראדון בחומרי איטום,קובלר,קונסטנטין,2012,המכון הלאומי לחקר הבנייה,חיפה,1200003,329,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
איתור הזדמנות לשילוב ואינטגרציה של ציוד  כלים,רוזנפלד,יחיאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200004,630,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
אנאליזה וחישוב של התפקוד התרמי והאנרגטי של גשרים תרמיים ופתרונותיהם בבנייה עם שלד מבטון,בקר,רות,2014,המכון הלאומי לחקר הבנייה,חיפה,1200005,22727,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
אסטרטגיה למינוף תכנית תכנן ובנה לקידום תיעוש הבניה ואיכות החיים בישראל,רוזנפלד,יחיאל,2021,המכון הלאומי לחקר הבנייה,חיפה,1200006,35884,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בדיקה ניסויית של אמצעי שידרוג מחבר עמוד קורה התנהגות של חללים תת קרקעיים רדודים מדופנים בעמיסה דינמית – שלב ג',אנטיס,מרק,2007,המכון הלאומי לחקר הבנייה,חיפה,1200007,143,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
בחינה מחדש של קריטריוני התכן ואופן החישוב של שקיעות בקורות ותקרות מבטון מזוין,דנציגר,אברהם,2017,המכון הלאומי לחקר הבנייה,חיפה,1200008,15434,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
בחינה של דרישות התקנים לתכולה מינימלית של צמנט להבטחת קיים של בטון מזוין,וסרמן,רינה,2007,המכון הלאומי לחקר הבנייה,חיפה,1200009,383,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
